,stop,stat_par,eq_odds,zero_one_loss,disp_imp,acc
0,0,0.17653719608597193,0.10932721712538224,0.18430132259919496,0.5274235058621675,0.6418152350081036
0,0,0.21961045552594852,0.16362574806597582,0.07690108633504857,0.5025150905432595,0.6596434359805513
0,0,0.21586165772212274,0.1270604395604396,0.21761378938863452,0.45399698340874817,0.6175040518638574
0,0,0.1311611748605116,0.09646184016996244,0.04083087261989604,0.6195144296839212,0.625607779578606
0,0,0.14527470164498446,0.14248871695680207,0.198401218119528,0.6342374533051811,0.6661264181523499
0,0,0.19939988508437786,0.16250917094644174,0.17851124987610262,0.5149350313195631,0.6564019448946513
0,0,0.1436258714011921,0.07487562189054732,0.12669753086419747,0.6134070294784582,0.6661264181523499
0,0,0.2249852933311942,0.12244897959183679,0.13400077011936853,0.44557195571955727,0.6655844155844156
0,0,0.22483078625856714,0.13853367433930097,0.10597826086956533,0.4493274945261182,0.6347402597402596
0,0,0.23143735669227278,0.15312440464850444,0.03126792885829033,0.47356150555208376,0.6136363636363635
1,29,0.13905375379224885,0.08218983028801459,0.12740080506037949,0.6309731593833213,0.6363587250135061
1,29,0.17703301893442738,0.1339173794877997,0.06561168372489125,0.5937943790600593,0.6494327390599676
1,29,0.19030688303944118,0.11961873567347969,0.20420492528868817,0.537996628697793,0.6231226364127499
1,29,0.096248727936274,0.06973864889293599,0.05691698759391276,0.7172392043112693,0.6273905996758509
1,29,0.12018815181163316,0.1752756383751527,0.17530057856225387,0.7114234339505584,0.6474338195569963
1,29,0.17930667574641956,0.1577317333884358,0.15234839471945547,0.5609074047025291,0.6554835224203134
1,29,0.125797336478451,0.08489673412243842,0.1225201461351272,0.6710149965614156,0.6618044300378173
1,29,0.1930063996292137,0.13167158351725883,0.1297654484271149,0.5180196993674917,0.6576839826839828
1,29,0.18351780114370045,0.16816757923511225,0.10774825323320306,0.5703313514432459,0.6324134199134198
1,29,0.19778174607367646,0.12687235716341605,0.060111432017321824,0.5358681619895637,0.6064935064935065
2,58,0.10479995442179776,0.07109334046171491,0.10019801533007698,0.7169591268603946,0.6290653700702323
2,58,0.1566111886534422,0.14193739072208472,0.08554753724565042,0.6353978304687831,0.6465153970826579
2,58,0.17705618025385467,0.11705250077454837,0.20688496002939596,0.569240352375144,0.6229605618584549
2,58,0.07536442432536758,0.05630072260818224,0.06212967831954541,0.7776444773473613,0.6271745002701242
2,58,0.11041035014156184,0.17685119896766613,0.16948717435003577,0.7317185489977772,0.6455429497568883
2,58,0.16527384676498338,0.16107879382031345,0.15491459345161396,0.5911942548766206,0.6540788762830902
2,58,0.09908103592314117,0.09964200080955252,0.12844915431559736,0.7348149210694292,0.6585089141004864
2,58,0.1685220243506783,0.14642739879417055,0.11939009465084703,0.5725187744447965,0.6554653679653681
2,58,0.1557724234813333,0.18536603787262526,0.1151450602537559,0.6290397279772261,0.629383116883117
2,58,0.18369030385640878,0.11890780491645074,0.08491202018748732,0.5664725761441921,0.6047619047619048
3,87,0.09716097651298268,0.06266299892281467,0.10075300906188654,0.7218133568839064,0.6274446245272826
3,87,0.1435199283790833,0.1398711856809191,0.07982466171145414,0.645572153112461,0.647649918962723
3,87,0.1680473918846012,0.10559185895933448,0.21493996580211577,0.5648520457625399,0.6105348460291734
3,87,0.06432256026950206,0.0453670838394692,0.061483476605670724,0.7969469039400711,0.6243652079956782
3,87,0.10349603985234564,0.17662555639635677,0.18185505000923835,0.7392433120787384,0.6430578065910317
3,87,0.15398835237953365,0.16145872029958735,0.15189480292067267,0.5999928128569235,0.6492706645056725
3,87,0.08684561543915813,0.09971781356030927,0.12674753664648744,0.7564777826029481,0.6568341437061048
3,87,0.15650034761217177,0.15258068076486792,0.14002508352948728,0.5781550251293872,0.6542207792207793
3,87,0.14391185276630766,0.1850709110493644,0.11511287625418062,0.6408670907117332,0.6242424242424244
3,87,0.17538435528693244,0.10854854554638055,0.06953108764114395,0.5621819633495412,0.605952380952381
4,116,0.0927010782093464,0.05917720313356911,0.10635130728674383,0.7238095185848465,0.6252836304700161
4,116,0.13201687603096054,0.1476118227782643,0.08164620881602011,0.6516412810450567,0.6458670988654782
4,116,0.15969311696055882,0.10086509625502019,0.20943205519262925,0.5702320006905741,0.6092382495948135
4,116,0.052552549391164,0.04885304098030685,0.05335593888596747,0.8252995120846613,0.6254457050243113
4,116,0.09650288499444505,0.17181502204736193,0.17948016214880566,0.7482397041691787,0.6430578065910317
4,116,0.14131500358224622,0.1568845326724749,0.14906994416361055,0.6143330555402627,0.6429497568881686
4,116,0.07904635538425896,0.0983439066467385,0.11977124550524962,0.7694163204076134,0.65537547271745
4,116,0.15057347095210083,0.15716239051835837,0.13464783857665794,0.5790077004045407,0.6554112554112554
4,116,0.14554723085436977,0.17608765437841048,0.11691918727871906,0.6275018653524882,0.6259199134199134
4,116,0.16477773433785226,0.10122419661763926,0.07003410960664122,0.5709006633836424,0.6022727272727272
