,stat_par,eq_odds,zero_one_loss,disp_imp,acc
0,0.1824659231722429,0.12016356592854754,0.15727429557216788,0.562081784386617,0.6239870340356564
1,0.2022057268536142,0.18753405582127508,0.06060606060606055,0.596799359028422,0.6369529983792545
2,0.23801005196354033,0.19534308675046363,0.19421078673923797,0.48827838827838826,0.6320907617504052
3,0.15769028318770398,0.12605380263422705,0.05504977452565296,0.5937898305084746,0.6272285251215559
4,0.13491022470702074,0.1662831722656849,0.18264179672630376,0.6987853473522493,0.646677471636953
5,0.2504309335830265,0.12368149928862288,0.1557141441173555,0.4493730114168071,0.6515397082658023
6,0.15047071460163014,0.10992366412213739,0.11404320987654326,0.628992054837202,0.6645056726094003
7,0.20731589924594898,0.1080163043478261,0.16217848085979958,0.5325229722885464,0.6883116883116883
8,0.22180835213486016,0.12077922077922076,0.13871635610766042,0.513173876483229,0.637987012987013
9,0.2158835152526971,0.14486486486486488,0.10327022375215145,0.5288488146849921,0.6233766233766234
