,stop,stat_par,eq_odds,zero_one_loss,disp_imp,acc
0,0,0.26032025808657017,0.2643710669647709,0.09544955814214798,0.4837942998760843,0.6628849270664504
0,0,0.22760577478887328,0.18911575571099473,0.05286830569849436,0.5495701278677986,0.6820097244732579
0,0,0.23933043700485565,0.17480613621378277,0.11807164018314027,0.5419448586282953,0.6781739600216099
0,0,0.1486156437519739,0.11505128627063796,0.0629263822421342,0.6699707773232031,0.6969205834683952
0,0,0.21133677382360316,0.17780101798173134,0.09652283862810183,0.5910708461572409,0.683900594273366
0,0,0.2769842452100757,0.2315127572768238,0.07384279908811572,0.47980479029300366,0.6829281469475957
0,0,0.19332785745877293,0.14921750576425502,0.08894230769230774,0.6176034353693532,0.7143706104808213
0,0,0.24740431752143607,0.16631932680137776,0.1353540232661112,0.5193241467741281,0.7259740259740262
0,0,0.24207852652789008,0.13377313508607033,0.13571859903381644,0.5320026540344079,0.6791125541125543
0,0,0.28162843366195045,0.2478155095795094,0.06189041881812973,0.5044593025696414,0.6733225108225109
1,29,0.24161895198621258,0.24194023301587542,0.07812208760484625,0.5173545425052315,0.6681793625067531
1,29,0.20797769600586502,0.16739165236718032,0.07078802644840376,0.5847101186525652,0.6781199351701783
1,29,0.20084973166368517,0.13163797480749118,0.09872572169436111,0.6129417606890807,0.6799567801188549
1,29,0.11729725936063448,0.08876153229062536,0.07490569783601349,0.7397449398029203,0.6977309562398705
1,29,0.1818757839658818,0.1799860977505051,0.0822985343704395,0.6403592061942864,0.6769313884386818
1,29,0.2391989955523398,0.17708654331208712,0.10447794928169594,0.5359423997523327,0.6842247433819558
1,29,0.14891711070393068,0.09491970638745169,0.08644191199746751,0.7020368974545198,0.706320907617504
1,29,0.19651425209904275,0.11571394421974987,0.1241367148008333,0.6006993430751574,0.7261363636363638
1,29,0.20480751493479776,0.1462695403333531,0.19121376811594198,0.5921630110459905,0.6824675324675326
1,29,0.25626609185078736,0.21073372712670804,0.06140801596478797,0.5463842055025194,0.6683441558441559
2,58,0.23144041362218518,0.22973535251324678,0.07657211503506442,0.5361488082205259,0.6700162074554293
2,58,0.1987543881910079,0.14959797744440964,0.06459492082133589,0.5979896724302409,0.6771474878444085
2,58,0.2019117187721839,0.1326578207623925,0.10198402010952509,0.6120806167860364,0.6795245813074013
2,58,0.11002772221637365,0.08017982096637981,0.07718861688144729,0.7560540450312595,0.6988114532685034
2,58,0.1705261083037666,0.180233134685534,0.06412035274711333,0.6572183935878869,0.6755267423014588
2,58,0.22628340178615766,0.1642109641323542,0.11093262388980497,0.558531248029791,0.6826039978390059
2,58,0.1405141003769929,0.09483844460483176,0.06659897957283577,0.7176934271987586,0.7063209076175042
2,58,0.1869126691266913,0.10928427612426397,0.12035879553841494,0.6162072402718517,0.7231601731601731
2,58,0.19704922452570486,0.14819063509673722,0.18381642512077292,0.6031710513145845,0.6807900432900433
2,58,0.2460719153837213,0.19721820228600212,0.06282108383408322,0.5632590991467954,0.6683982683982685
3,87,0.2215958780213363,0.21003148557129137,0.07280023971146495,0.5437604212068524,0.6702863317125876
3,87,0.19252421435520023,0.14155717122472972,0.06868115113398131,0.6041961261981129,0.6759049162614804
3,87,0.1956427293636596,0.12232654989142856,0.10103112988723885,0.6144945404467391,0.6821717990275526
3,87,0.10855353195073168,0.07527259045921744,0.08145447343057159,0.7553511148662664,0.6980010804970285
3,87,0.1666584238253951,0.18250808102048624,0.07330766565570127,0.6603930596841295,0.6776337115072936
3,87,0.21975129989430603,0.15257943319382025,0.11134231100778826,0.5637814803290163,0.6821717990275526
3,87,0.13171338710922967,0.08972069225587445,0.08500881064176555,0.7268341786132382,0.7049702863317127
3,87,0.17006470934274562,0.09872477408898238,0.12386757852163653,0.6416699498157441,0.7229437229437231
3,87,0.1864820569579839,0.1497165583877569,0.1829106280193237,0.6123440523989635,0.6847943722943725
3,87,0.24431929049687057,0.1866159348092152,0.06630589881270625,0.5606384489965671,0.6707792207792209
4,116,0.21854605534902932,0.2038091871747527,0.07676451212768162,0.5425999019778287,0.6687196110210695
4,116,0.1860836188300977,0.13203914401814582,0.06251416081604759,0.6095453027276656,0.6761750405186385
4,116,0.1911988528267598,0.11708536775220738,0.1053508571392781,0.6209399939557285,0.6814694759589411
4,116,0.10422395339860338,0.07016105186578692,0.08461776298017622,0.7633025959473065,0.6977309562398702
4,116,0.16440526108303768,0.19023630142042686,0.08056718611018093,0.6607408142737387,0.6769313884386817
4,116,0.21134472558575046,0.14443044303875302,0.1132878742825219,0.5735520554157467,0.67947055645597
4,116,0.12520165961121293,0.08992350478754077,0.08233977176615631,0.7370673558917359,0.7048082117774178
4,116,0.17010143144909712,0.09442544834593615,0.11575658086020572,0.6369856056211952,0.7244047619047619
4,116,0.18710286208902704,0.15422365146196754,0.187469806763285,0.6110594283365387,0.6826839826839827
4,116,0.23764550907483523,0.16963226711563276,0.0673797504628569,0.5663863893107219,0.6686147186147186
