,stat_par,eq_odds,zero_one_loss,disp_imp,acc
0,-0.39577710301394514,0.4662818662818663,0.1756843800322061,0.20076080168057683,0.5070974057758199
1,-0.3759285477603398,0.5081146499688043,0.1423146955633522,0.28749314880789256,0.5051395007342144
2,-0.3505419427749525,0.46139240506329116,0.15634275390372954,0.3187581112109414,0.5286343612334802
3,-0.3550993022007515,0.47140345653807436,0.18248225603122248,0.296971307120085,0.5100342633382281
4,-0.38051598684103916,0.5454183540393986,0.12190635343191547,0.2884157890749299,0.5080763582966226
5,-0.3448,0.45131004366812233,0.16326237054085158,0.32586027111574556,0.5266764561918746
6,-0.36596188262209184,0.49562573632805074,0.15132957731145036,0.29775897472208457,0.5002447381302007
7,-0.3620249569906321,0.44283131289242195,0.15094965886040934,0.27402031545908434,0.5220372184133203
8,-0.42266975391739803,0.5415475098472995,0.18250528813909095,0.22462808937708675,0.5190989226248776
9,-0.39213983280859843,0.5357606840509811,0.16507544906132243,0.25248344370860926,0.48579823702252695
