,stop,stat_par,eq_odds,zero_one_loss,disp_imp,acc
0,0,-0.1760438656123654,0.2825204663530348,0.15441851800955833,0.24543724409373416,0.8243697478991597
0,0,-0.17803563951873277,0.09319589376838283,0.17774318168713604,0.2075441458063175,0.816752854988149
0,0,-0.1800911183465121,0.27882622778006033,0.1715782129315964,0.2117323799118907,0.8167313079077785
0,0,-0.17186713204439386,0.1180296279667801,0.17236515856501222,0.2599778241200085,0.819931049342814
0,0,-0.22041485870077404,0.3080270337550439,0.15619456604565213,0.07402480291643934,0.8201572936867054
0,0,-0.2218802435492441,0.21941867390215053,0.18445183065522047,0.06924580564642514,0.8162141779788837
0,0,-0.17534156408240356,0.12836188822322628,0.1762419864663626,0.2171160661240035,0.8054406377935789
0,0,-0.20240373661426292,0.5870678561685884,0.16178538497003228,0.10514706776874912,0.8251777634130575
0,0,-0.16479687427455095,0.28909361643850173,0.1481491160461765,0.2609107612956575,0.8238741650506356
0,0,-0.1771845467788206,0.1907640621988226,0.181899777918938,0.16872994761745727,0.8185951303598363
1,200,-0.14525146993929416,0.29061703466019534,0.14405064466663087,0.3780614800025111,0.8216548157724628
1,200,-0.15719519117073713,0.11107126532711976,0.17189644236867901,0.2857347825504734,0.8163650075414781
1,200,-0.15085214736365052,0.3430790714151627,0.1552753338759302,0.33161719238480286,0.8155893126481362
1,200,-0.1535549542247844,0.18094957458245498,0.15644908616187989,0.3391262225457099,0.8188752424046541
1,200,-0.19587671258098768,0.25941381564177374,0.15236163427909769,0.16240421340535693,0.8177224736048265
1,200,-0.18876686893572134,0.21520720446848907,0.17409406412796244,0.1837941280021154,0.8152876535229475
1,200,-0.14449699532977348,0.12215946094506307,0.17132962083960265,0.32950239784379054,0.80582848524025
1,200,-0.1777682843472318,0.46317585036228087,0.15645458736745047,0.19103268077572774,0.823464770523594
1,200,-0.1448325172589902,0.2786439868876902,0.14564830527857833,0.34898896073806457,0.8237233354880414
1,200,-0.14730299009523348,0.09789057230374695,0.1850857226313783,0.31947598522214876,0.8167959491488903
2,400,-0.13138111679606904,0.3055531624167453,0.14101821042927093,0.4063578204117851,0.8218810601163543
2,400,-0.1545401999329127,0.10908611922881338,0.17362624690076695,0.2978051557555034,0.8146627881922
2,400,-0.14192532231326108,0.3656504055978403,0.14892970474056808,0.36105722547577684,0.8144365438483087
2,400,-0.1460127848150908,0.18640228572931636,0.15570600657126857,0.35548009408116454,0.8186059039000215
2,400,-0.1853052351054638,0.2675282570518021,0.15017095351573229,0.18966461741134158,0.8170006464124112
2,400,-0.19537647674809724,0.18679306905969179,0.1787176853278548,0.15927755918271516,0.8145765998707174
2,400,-0.14475681544302466,0.12405266484920441,0.16994741495648932,0.33869691104236244,0.8053113553113553
2,400,-0.17493734335839597,0.49545670197641084,0.1529144437858131,0.18899106809772956,0.8237125619478561
2,400,-0.13948235529412606,0.29078910414491616,0.14584781278889974,0.35512630748970564,0.8227321697909933
2,400,-0.1550328468189915,0.10460028029139208,0.18308072228049185,0.287007772957254,0.8170545141133376
3,600,-0.13064644531110237,0.2739585186507423,0.14619549510639948,0.41314452797445095,0.8209976298211593
3,600,-0.14803345397836395,0.09446727396488679,0.17563858617309586,0.3160276362185226,0.8124757595345832
3,600,-0.13102347132276648,0.33410370257662897,0.15600248727160837,0.38639278991512344,0.8137578108166343
3,600,-0.14523706812031842,0.18729152768852214,0.1553164531341712,0.35766270839082914,0.8163757810816635
3,600,-0.18684523675573353,0.32873735469614085,0.1474215836310812,0.16904386064614824,0.8161064425770308
3,600,-0.1905975555981657,0.18442282082077974,0.17960730794629096,0.17308647721979942,0.8145335057099763
3,600,-0.14396068286807795,0.10881987441674955,0.17301410023733071,0.33804102104615236,0.8048588666235726
3,600,-0.16977291714133816,0.4839422044382132,0.1546598169004808,0.20039405569125962,0.8218810601163542
3,600,-0.1413780763502727,0.264526098513953,0.14990254194266767,0.3509985504044746,0.821310062486533
3,600,-0.1453062930366367,0.09489145916239429,0.1826184637505601,0.30178918423313006,0.8161710838181427
4,800,-0.13233687549942155,0.2601522688329701,0.1479355418157182,0.4059198835427062,0.8211915535444948
4,800,-0.13902206274982606,0.11236984505196215,0.168903880528167,0.337196168194294,0.8127666451195863
4,800,-0.1302358760599664,0.32979169943290804,0.15556146824684547,0.38302850892718826,0.8128097392803275
4,800,-0.14553904074669596,0.171396331399666,0.15985265245815375,0.3503437982294163,0.8146196940314586
4,800,-0.18323039605790126,0.31170126670490483,0.14977556479004894,0.17132395938499767,0.8148674854557206
4,800,-0.1836383509358414,0.17960559585762317,0.17835179886027344,0.17806097627439516,0.8126912303382892
4,800,-0.12665296875823193,0.11353411054922595,0.17087934614909434,0.3851326251207553,0.8043309631544927
4,800,-0.16186204146730462,0.4764164764466452,0.15585934927221234,0.20824670689238736,0.8201141995259643
4,800,-0.1402453580191358,0.28170636115308967,0.1471670601553474,0.34075276581713415,0.8215255332902391
4,800,-0.14564048253782763,0.08735304685689425,0.17981215158886607,0.29083856922738005,0.8154384830855418
5,1000,-0.1232614166279056,0.28287115911522004,0.14369653245385006,0.4211367635957697,0.8210299504417152
