,stat_par,eq_odds,zero_one_loss,disp_imp,acc
0,0.2575204033670897,0.2598593354024887,0.09179869524697104,0.4879022835900159,0.6645056726094003
1,0.23337774394112415,0.193324549846289,0.03144654088050314,0.537411971830986,0.6807131280388979
2,0.23754152823920271,0.17445278298936837,0.12038782655534608,0.546031746031746,0.6807131280388979
3,0.1486156437519739,0.11505128627063793,0.0629263822421342,0.6699707773232029,0.6969205834683955
4,0.21396624018922694,0.16953724839178252,0.09009009009009017,0.584928878321445,0.6871961102106969
5,0.27513779234321467,0.2262513701132627,0.07384279908811575,0.4814710836608647,0.6839546191247974
6,0.19882689918072494,0.16021814876533857,0.10769230769230775,0.6035735281767027,0.7179902755267423
7,0.25025937215893895,0.1668221346252219,0.13850984180654513,0.5149467225009329,0.7256493506493507
8,0.244370184325912,0.13745975824576323,0.13677536231884058,0.5280164439876671,0.676948051948052
9,0.2829700229292364,0.24976764999483667,0.06189041881812973,0.5032645793144384,0.6737012987012987
