,stat_par,eq_odds,zero_one_loss,disp_imp,acc
0,-0.030533063427800267,0.13613445378151262,0.17895866881374123,0.9199469261388766,0.5242290748898678
1,-0.024387745880651845,0.2109905020352782,0.11907740031020164,0.9382860976018783,0.5286343612334802
2,-0.03883495145631072,0.14520358868184963,0.11934410483345348,0.8956521739130434,0.5433186490455213
3,-0.023403113258185726,0.22295502832861192,0.14957805907172994,0.9382436260623229,0.5330396475770925
4,-0.18753139838267943,0.17133512889572913,0.13106847572609703,0.5148415227234614,0.5330396475770925
5,-0.11603809523809527,0.10882018992568127,0.1862413693901035,0.6723321858864026,0.5173764072442486
6,-0.09038578624010629,0.07943860427703661,0.1569159794235323,0.7607209143303701,0.5149290259422418
7,-0.08751787241489756,0.19465848471113278,0.16966623640051626,0.7531917271178076,0.5244857982370226
8,-0.08678764381742143,0.3143983387885827,0.14394252280158315,0.7626802524761708,0.5244857982370226
9,-0.024998161384879924,0.08842183477960885,0.18859730647695971,0.9335140320973165,0.5225269343780607
