,stat_par,eq_odds,zero_one_loss,disp_imp,acc
0,-0.2517482517482518,0.25925925925925924,0.6923076923076923,0.34841628959276016,0.42567567567567566
1,-0.2801564027370479,0.322463768115942,0.2777777777777778,0.03696236559139785,0.43243243243243246
2,-0.12666281087333717,0.15584415584415584,0.2777777777777778,0.6562009419152277,0.42567567567567566
3,-0.27450980392156865,0.42857142857142855,0.09999999999999998,0.0,0.38095238095238093
4,-0.20754716981132076,0.36363636363636365,0.25,0.0,0.3877551020408163
5,-0.21200980392156865,0.1828828828828829,0.18333333333333324,0.2276785714285714,0.46258503401360546
6,-0.22115384615384617,0.3076923076923077,0.15037593984962405,0.047337278106508875,0.46938775510204084
7,-0.19550381372942593,0.2375,0.34259259259259256,0.35239361702127664,0.5102040816326531
8,-0.08,0.25,0.55,0.0,0.47619047619047616
9,-0.11616161616161616,0.22499999999999998,0.1208791208791209,0.30303030303030304,0.3741496598639456
