,stat_par,eq_odds,zero_one_loss,disp_imp,acc
0,-0.15728112680784678,0.09982547993019197,0.4,0.18834154978917467,0.8383968972204267
1,-0.15924224544841536,0.29911504424778756,1.0,0.16404867256637168,0.832579185520362
2,-0.17850100751009312,0.20650263620386644,0.33333333333333337,0.07361427912600181,0.8287007110536523
3,-0.18490129173775285,0.301980198019802,0.3571428571428571,0.08952895289528953,0.8296703296703297
4,-0.18845525770169355,0.19579831932773106,0.5,0.06690892573245515,0.830316742081448
5,-0.18324056895485466,0.07187577695906697,0.2702702702702703,0.09609517998779743,0.8332255979314803
6,-0.17256860948891178,0.32486388384754994,1.0,0.07545819380895172,0.8199741435035552
7,-0.180276508687914,0.7168784029038112,0.375,0.0361259626232403,0.8387201034259858
8,-0.16123964141585287,0.31329879101899827,1.0,0.17820693986497096,0.8274078862314156
9,-0.16033992213237497,0.19024856596558315,0.33333333333333337,0.09007860633099637,0.8319327731092437
