,stat_par,eq_odds,zero_one_loss,disp_imp,acc
0,0.24242424242424243,0.8333333333333334,1.0,0.7575757575757576,0.68
1,0.25531914893617025,0.6666666666666666,1.0,0.7446808510638298,0.74
2,0.22680412371134018,0.9090909090909091,1.0,0.7731958762886598,0.73
3,-0.26041666666666663,0.3356164383561644,0.75,0.6575342465753425,0.73
4,-0.04166666666666663,1.05,1.0,0.9473684210526316,0.72
5,0.19191919191919193,0.5789473684210527,0.5,0.8080808080808081,0.82
6,0.23232323232323238,0.7391304347826086,1.0,0.7676767676767676,0.77
7,0.25773195876288657,0.68,1.0,0.7422680412371134,0.72
8,-0.18888888888888888,0.2763157894736842,1.0,0.7605633802816901,0.78
9,-0.13745704467353959,0.8421052631578947,1.0,0.829059829059829,0.79
