,stat_par,eq_odds,zero_one_loss,disp_imp,acc
0,-0.13568521031207598,0.12879999999999997,0.32380952380952377,0.6411483253588517,0.5080763582966226
1,-0.1934098851722416,0.38388324873096447,0.2404761904761905,0.5083756345177666,0.5340186000978953
2,-0.27187155042649275,0.3416559965855741,0.31794871794871793,0.3062227912932138,0.5364659813999021
3,-0.16513127590971904,0.5161725067385444,0.28584995251661927,0.5540120257101389,0.5296133137542829
4,-0.30090316106372306,0.30187734668335414,0.14689431851633794,0.24943679599499374,0.5281448849730788
5,-0.24746511627906978,0.20510559499140246,0.2128801431127012,0.360555255092843,0.5203132648066568
6,-0.0695402158816793,0.08954482210296161,0.24122807017543857,0.8201298292052688,0.5012236906510035
7,-0.26894924850037066,0.25004245820899146,0.22972972972972971,0.28671528671528673,0.5171400587659157
8,-0.17978815470313622,0.27464886663885413,0.1697626418988648,0.5497420556183034,0.5190989226248776
9,-0.21549007248660576,0.22341994476175153,0.21877122173105257,0.4608712793219002,0.5137120470127327
