,stat_par,eq_odds,zero_one_loss,disp_imp,acc
0,-0.3617021276595745,0.5735294117647058,0.7692307692307692,0.0,0.515
1,-0.3010752688172043,0.6964285714285714,0.7142857142857143,0.0,0.545
2,-0.1367127496159754,0.6730769230769231,1.0,0.5109890109890111,0.515
3,-0.3114754098360656,0.5789473684210527,1.0,0.0,0.51
4,-0.24608938547486037,0.4339622641509434,1.0,0.16886792452830188,0.4472361809045226
5,-0.2312741312741313,0.48214285714285715,1.0,0.235969387755102,0.46733668341708545
6,-0.25443989071038253,0.3793103448275862,1.0,0.19719827586206895,0.5025125628140703
7,-0.21590174531351003,0.38,0.6486486486486487,0.2141176470588235,0.5477386934673367
8,-0.32972972972972975,0.5573770491803278,0.8571428571428572,0.0,0.46733668341708545
9,-0.2564102564102564,0.29032258064516125,0.7333333333333334,0.23076923076923078,0.5276381909547738
